DFSClient.getLeaseRenewer LeaseRenewer.getInstance
DFSClient.renewLease protocol.ClientProtocol.renewLease
DFSClient.getBlockSize protocol.ClientProtocol.getPreferredBlockSize
DFSClient.getServerDefaults protocol.ClientProtocol.getServerDefaults
DFSClient.getDelegationToken protocol.ClientProtocol.getDelegationToken
DFSClient.getDelegationToken security.token.delegation.DelegationTokenIdentifier.stringifyToken
DFSClient.renewDelegationToken security.token.delegation.DelegationTokenIdentifier.stringifyToken
DFSClient.cancelDelegationToken security.token.delegation.DelegationTokenIdentifier.stringifyToken
DFSClient.reportBadBlocks protocol.ClientProtocol.reportBadBlocks
DFSClient.getLocatedBlocks DFSClient.callGetBlockLocations
DFSClient.callGetBlockLocations protocol.ClientProtocol.getBlockLocations
DFSClient.recoverLease protocol.ClientProtocol.recoverLease
DFSClient.getBlockLocations DFSUtil.locatedBlocks2Locations
DFSClient.getBlockStorageLocations BlockStorageLocationUtil.queryDatanodesForHdfsBlocksMetadata
DFSClient.getBlockStorageLocations BlockStorageLocationUtil.associateVolumeIdsWithBlocks
DFSClient.getBlockStorageLocations BlockStorageLocationUtil.convertToVolumeBlockLocations
DFSClient.create permission.FsPermission.getFileDefault
DFSClient.create DFSOutputStream.newStreamForCreate
DFSClient.primitiveCreate CreateFlag.validate
DFSClient.primitiveCreate DFSOutputStream.newStreamForCreate
DFSClient.createSymlink permission.FsPermission.getDefault
DFSClient.createSymlink protocol.ClientProtocol.createSymlink
DFSClient.getLinkTarget protocol.ClientProtocol.getLinkTarget
DFSClient.callAppend protocol.ClientProtocol.append
DFSClient.callAppend DFSOutputStream.newStreamForAppend
DFSClient.setReplication protocol.ClientProtocol.setReplication
DFSClient.rename protocol.ClientProtocol.rename
DFSClient.concat protocol.ClientProtocol.concat
DFSClient.rename protocol.ClientProtocol.rename2
DFSClient.delete protocol.ClientProtocol.delete
DFSClient.listPaths protocol.ClientProtocol.getListing
DFSClient.getFileInfo protocol.ClientProtocol.getFileInfo
DFSClient.isFileClosed protocol.ClientProtocol.isFileClosed
DFSClient.getFileLinkInfo protocol.ClientProtocol.getFileLinkInfo
DFSClient.getDataEncryptionKey protocol.ClientProtocol.getDataEncryptionKey
DFSClient.getFileChecksum DFSClient.callGetBlockLocations
DFSClient.getFileChecksum DFSClient.connectToDN
DFSClient.getFileChecksum protocolPB.PBHelper.vintPrefixed
DFSClient.getFileChecksum protocolPB.PBHelper.convert
DFSClient.getFileChecksum DFSClient.inferChecksumTypeByReading
DFSClient.connectToDN protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams
DFSClient.inferChecksumTypeByReading DFSClient.connectToDN
DFSClient.inferChecksumTypeByReading server.datanode.CachingStrategy.newDefaultStrategy
DFSClient.inferChecksumTypeByReading protocolPB.PBHelper.vintPrefixed
DFSClient.inferChecksumTypeByReading protocolPB.PBHelper.convert
DFSClient.setPermission protocol.ClientProtocol.setPermission
DFSClient.setOwner protocol.ClientProtocol.setOwner
DFSClient.getDiskStatus protocol.ClientProtocol.getStats
DFSClient.getMissingBlocksCount protocol.ClientProtocol.getStats
DFSClient.getUnderReplicatedBlocksCount protocol.ClientProtocol.getStats
DFSClient.getCorruptBlocksCount protocol.ClientProtocol.getStats
DFSClient.listCorruptFileBlocks protocol.ClientProtocol.listCorruptFileBlocks
DFSClient.datanodeReport protocol.ClientProtocol.getDatanodeReport
DFSClient.setSafeMode protocol.ClientProtocol.setSafeMode
DFSClient.createSnapshot protocol.ClientProtocol.createSnapshot
DFSClient.deleteSnapshot protocol.ClientProtocol.deleteSnapshot
DFSClient.renameSnapshot protocol.ClientProtocol.renameSnapshot
DFSClient.getSnapshottableDirListing protocol.ClientProtocol.getSnapshottableDirListing
DFSClient.allowSnapshot protocol.ClientProtocol.allowSnapshot
DFSClient.disallowSnapshot protocol.ClientProtocol.disallowSnapshot
DFSClient.getSnapshotDiffReport protocol.ClientProtocol.getSnapshotDiffReport
DFSClient.saveNamespace protocol.ClientProtocol.saveNamespace
DFSClient.rollEdits protocol.ClientProtocol.rollEdits
DFSClient.restoreFailedStorage protocol.ClientProtocol.restoreFailedStorage
DFSClient.refreshNodes protocol.ClientProtocol.refreshNodes
DFSClient.metaSave protocol.ClientProtocol.metaSave
DFSClient.setBalancerBandwidth protocol.ClientProtocol.setBalancerBandwidth
DFSClient.finalizeUpgrade protocol.ClientProtocol.finalizeUpgrade
DFSClient.mkdirs permission.FsPermission.getDefault
DFSClient.primitiveMkdir permission.FsPermission.getDefault
DFSClient.primitiveMkdir protocol.ClientProtocol.mkdirs
DFSClient.getContentSummary protocol.ClientProtocol.getContentSummary
DFSClient.setQuota protocol.ClientProtocol.setQuota
DFSClient.setTimes protocol.ClientProtocol.setTimes
HdfsConfiguration.addDeprecatedKeys HdfsConfiguration.deprecate
HdfsConfiguration.main HdfsConfiguration.init
protocol.SnapshottableDirectoryStatus.getFullPath DFSUtil.bytes2String
protocol.SnapshottableDirectoryStatus.print protocol.SnapshottableDirectoryStatus.maxLength
protocol.datatransfer.ReplaceDatanodeOnFailure.get protocol.datatransfer.ReplaceDatanodeOnFailure.values
protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams protocol.datatransfer.DataTransferEncryptor.performSaslStep1
protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams protocol.datatransfer.DataTransferEncryptor.readSaslMessage
protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams protocol.datatransfer.DataTransferEncryptor.sendSaslMessage
protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams protocol.datatransfer.DataTransferEncryptor.checkSaslComplete
protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams protocol.datatransfer.DataTransferEncryptor.sendInvalidKeySaslErrorMessage
protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams protocol.datatransfer.DataTransferEncryptor.sendGenericSaslErrorMessage
protocol.datatransfer.DataTransferEncryptor.getEncryptedStreams protocol.datatransfer.DataTransferEncryptor.getUserNameFromEncryptionKey
protocol.datatransfer.DataTransferEncryptor.performSaslStep1 protocol.datatransfer.DataTransferEncryptor.readSaslMessage
protocol.datatransfer.DataTransferEncryptor.performSaslStep1 protocol.datatransfer.DataTransferEncryptor.sendSaslMessage
protocol.datatransfer.DataTransferEncryptor.sendInvalidKeySaslErrorMessage protocol.datatransfer.DataTransferEncryptor.sendSaslMessage
protocol.datatransfer.DataTransferEncryptor.sendGenericSaslErrorMessage protocol.datatransfer.DataTransferEncryptor.sendSaslMessage
protocol.datatransfer.DataTransferEncryptor.readSaslMessage protocolPB.PBHelper.vintPrefixed
protocol.datatransfer.PacketReceiver.doRead protocol.datatransfer.PacketReceiver.doReadFully
protocol.datatransfer.PacketReceiver.doReadFully protocol.datatransfer.PacketReceiver.readChannelFully
protocol.datatransfer.Op.valueOf protocol.datatransfer.Op.values
protocol.datatransfer.Op.read protocol.datatransfer.Op.valueOf
protocol.datatransfer.PipelineAck.readFields protocolPB.PBHelper.vintPrefixed
protocol.datatransfer.BlockConstructionStage.getRecoveryStage protocol.datatransfer.BlockConstructionStage.values
protocol.datatransfer.Sender.send protocol.datatransfer.Sender.op
protocol.datatransfer.Sender.readBlock protocol.datatransfer.DataTransferProtoUtil.buildClientHeader
protocol.datatransfer.Sender.readBlock protocol.datatransfer.Sender.getCachingStrategy
protocol.datatransfer.Sender.readBlock protocol.datatransfer.Sender.send
protocol.datatransfer.Sender.writeBlock protocol.datatransfer.DataTransferProtoUtil.buildClientHeader
protocol.datatransfer.Sender.writeBlock protocol.datatransfer.DataTransferProtoUtil.toProto
protocol.datatransfer.Sender.writeBlock protocolPB.PBHelper.convert
protocol.datatransfer.Sender.writeBlock protocol.datatransfer.Sender.getCachingStrategy
protocol.datatransfer.Sender.writeBlock protocolPB.PBHelper.convertDatanodeInfo
protocol.datatransfer.Sender.writeBlock protocol.datatransfer.Sender.send
