Wycliffe's Bible (1388),WYC,Middle English,1388,Latin Vulgate,
Coverdale Bible,,Early Modern English,1535,"Masoretic Text, the Greek New Testament of Erasmus, Vulgate, and German and Swiss-German Bibles (Luther Bible, Zürich Bible and Leo Jud's Bible)",First complete Bible printed in English (Early Modern English)
Matthew's Bible,,Early Modern English,1537,"Masoretic Text, the Greek New Testament of Erasmus, the Vulgate, the Luther Bible, and a French version.[which?]",
Great Bible,,Early Modern English,1539,"Masoretic Text, Greek New Testament of Erasmus, the Vulgate, and the Luther Bible.",
Taverner's Bible,,Early Modern English,1539,,Minor revision of Matthew's Bible
Bishops' Bible,,Early Modern English,1568,"Masoretic Text, Textus Receptus",
King James Version,AV or KJV,Early Modern English,1611,"Masoretic Text, Textus Receptus, Tyndale 1526 NT, some Erasmus manuscripts, and Bezae 1598 TR.",This Bible version is now Public Domain worldwide due to copyright expiration except in the United Kingdom due to crown letters patent until 2039.
Douay-Rheims Bible (Challoner Revision),,Modern English,1752,Clementine Vulgate,This Bible version is now Public Domain due to copyright expiration.
Quaker Bible,,Modern English,1764,"Masoretic Text, Textus Receptus",
Thomson's Translation,,Modern English,1808,Codex Vaticanus (according to the introduction in the reprint edition by S. F. Pells) of the Septuagint (but excluding the Apocrypha) and of the New Testament,
The Living Oracles,New Testament,Modern English,1826,"Compiled and translated by Alexander Campbell based translations by George Campbell, James MacKnight and Philip Doddridge, with reference to the 1805 critical Greek text by Johann Jakob Griesbach","Replaces traditional ecclessiastical terminology such as ""church"", ""bishop"" and ""baptise"" with alternative translations such as ""congregation"", ""overseer"" and ""immerse""."
Webster's Revision,,Modern English,1833,,Revision of the King James Version.
Brenton's English Translation of the Septuagint,Old Testament,Modern English,1844,Septuagint,
Joseph Smith Translation of the Bible,,Modern English,1844,Revision of the King James Version,"Also called ""Inspired version of the Bible"" by Mormons"
Murdock Translation of the Western Peshitto,,Modern English,1852,Western Peshitto (or Peshito),"by Dr. James Murdock. The Western Peshitto ""is virtually the same as the Eastern Peshitta, besides the addition of 2Peter, 2John, 3John, Jude and Revelation""."
Ferrar Fenton Bible,,Modern English,1853,Masoretic Text and the Westcott and Hort Greek text,
Young's Literal Translation,YLT,Modern English,1862,"Masoretic Text, Textus Receptus",This Bible version is now Public Domain due to copyright expiration.
The Emphatic Diaglott,New Testament,Modern English,1864,Greek text recension by Dr Johann Jakob Griesbach,
Julia E. Smith Parker Translation,,Modern English,1876,"Masoretic Text, Textus Receptus",
Revised Version,RV,Modern English,1885,,"Revision of the King James Version, but with a critical New Testament text: Westcott and Hort 1881 and Tregelles 1857"
Darby Bible,DBY,Modern English,1890,"Masoretic Text, various critical editions of the Greek text (i.a. Tregelles, Tischendorf, Westcott and Hort).",This Bible version is now Public Domain due to copyright expiration.
American Standard Version,ASV,Modern English,1901,"Masoretic Text, Westcott and Hort 1881 and Tregelles 1857",This version is now in the public domain due to copyright expiration.
Emphasized Bible,EBR,Modern English,1902,Translated by Joseph Bryant Rotherham based on The New Testament in the Original Greek and Christian David Ginsburg's Massoretico-critical edition of the Hebrew Bible (1894),"Uses various methods, such as ""emphatic idiom"" and special diacritical marks, to bring out nuances of the underlying Greek, Hebrew, and Aramaic texts. Public Domain due to copyright expiration."
Twentieth Century New Testament,New Testament,Modern English,1904,Greek text of Westcott and Hort.,
"James Moffatt's 'The New Testament, A New Translation'",New Testament,Modern English,1913,Greek text of Hermann von Soden,
Jewish Publication Society of America Version Tanakh (Old Testament),JPS,Modern English,1917,Masoretic Text,"The Old Testament translation is based on the Hebrew Masoretic text. It follows the edition of Seligman Baer except for the books of Exodus to Deuteronomy, which never appeared in Baer's edition. For those books, C. D. Ginsburg's Hebrew text was used. This Bible version is now Public Domain due to copyright expiration."
"Helen Barrett Montgomery, Centenary Translation of the New Testament",New Testament,Modern English,1924,,
"Moffatt, New Translation",,Modern English,1926,Greek text of Hermann von Soden,
Lamsa Bible,,Modern English,1933,Syriac Peshitta,
An American Translation,,Modern English,1935,"Masoretic Text, various[which?] Greek texts.",
Westminster Bible,,Modern English,1936,Greek and Hebrew,
Confraternity Bible,New Testament,Modern English,1941,Revision of the Challoner Revision of the Rheims New Testament.,"OT was translated in stages, with editions progressively replacing books in the Challoner revision of the Douay-Rheims; when complete, it was published in 1970 as the New American Bible"
Spencer New Testament,New Testament,Modern English,1941,Greek text,"The gospels were originally from the Vulgate, then the translation was restarted using the Greek"
Bible in English,,Modern English,1949,,
Revised Standard Version,RSV (ERV),Modern English,1952,"Masoretic Text, Nestle-Aland Greek New Testament.",
Knox's Translation of the Vulgate,,Modern English,1955,"Vulgate, with influence from the original Hebrew, Aramaic, and Greek.",
Kleist-Lilly New Testament,New Testament,Modern English,1956,,
Berkeley Version,,Modern English,1958,,
Phillips New Testament in Modern English,New Testament,Modern English,1958,,
Wuest Expanded Translation,New Testament,Modern English,1961,Nestle-Aland Text,
Children's King James Version,,Modern English,1962,Revision of the King James Version.,by Jay P. Green
Judaica Press Tanakh (Old Testament).,,Modern English,1963,Masoretic Text,
Amplified Bible,AMP,Modern English,1965,Revision of the American Standard Version,
Jerusalem Bible,JB,Modern English,1966,"From the original Hebrew, Aramaic, and Greek, with influence from the French La Bible de Jérusalem.",
Revised Standard Version Catholic Edition,RSVCE,Modern English,1966,,Revision of the Revised Standard Version.
Modern Language Bible,,Modern English,1969,,"Also called ""The New Berkeley Version"""
Bible in Worldwide English,New Testament,Modern English,1969,,
The New Life Testament,New Testament,Modern English,1969,,
New American Bible,NAB,Modern English,1970,,
New English Bible,NEB,Modern English,1970,"Masoretic Text, Greek New Testament",
King James II Version,KJ2,Modern English,1971,"Masoretic Text, Textus Receptus","by Jay P. Green, Sr."
The Living Bible,TLB,Modern English,1971,American Standard Version (paraphrase),
New American Standard Bible,NASB,Modern English,1971,"Masoretic Text, Nestle-Aland Text",
The Story Bible,,Modern English,1971,,"A summary/paraphrase, by Pearl S. Buck"
The Bible in Living English,,Modern English,1972,,
Cotton Patch Series,New Testament,Modern English,1973,,"modern Black American idiomatic, e.g. rendering Jew as white man; Gentile as negro; Ephesus as Birmingham, Alabama; Rome as Washington, DC; Jerusalem as Atlanta, Georgia"
An American Translation,,Modern English,1976,"Masoretic Text, various[which?] Greek texts.",
Good News Bible,GNB,Modern English,1976,United Bible Society (UBS) Greek text,Formerly known as Today's English Version
