	2 & 0.3 & 2
189.txt	0
190.txt	0
191.txt	1
192.txt	2
193.txt	8
194.txt	3
195.txt	5
196.txt	6
197.txt	5
198.txt	12
199.txt	8
200.txt	21
201.txt	4
	2 & 0.3 & 3
189.txt	0
190.txt	0
191.txt	1
192.txt	2
193.txt	8
194.txt	3
195.txt	5
196.txt	6
197.txt	5
198.txt	12
199.txt	8
200.txt	21
201.txt	4
	2 & 0.3 & 4
189.txt	0
190.txt	0
191.txt	1
192.txt	2
193.txt	8
194.txt	3
195.txt	5
196.txt	6
197.txt	5
198.txt	12
199.txt	8
200.txt	21
201.txt	4
	2 & 0.8 & 2
189.txt	0
190.txt	0
191.txt	0
192.txt	0
193.txt	7
194.txt	3
195.txt	5
196.txt	5
197.txt	5
198.txt	10
199.txt	6
200.txt	14
201.txt	2
	2 & 0.8 & 3
189.txt	0
190.txt	0
191.txt	0
192.txt	0
193.txt	7
194.txt	3
195.txt	5
196.txt	5
197.txt	5
198.txt	10
199.txt	6
200.txt	14
201.txt	2
	2 & 0.8 & 4
189.txt	0
190.txt	0
191.txt	0
192.txt	0
193.txt	7
194.txt	3
195.txt	5
196.txt	5
197.txt	5
198.txt	10
199.txt	6
200.txt	14
201.txt	2
	3 & 0.2 & 2
189.txt	0
190.txt	0
191.txt	0
192.txt	0
193.txt	0
194.txt	1
195.txt	1
196.txt	4
197.txt	1
198.txt	4
199.txt	6
200.txt	6
201.txt	2
	3 & 0.8 & 2
189.txt	0
190.txt	0
191.txt	0
192.txt	0
193.txt	0
194.txt	1
195.txt	1
196.txt	3
197.txt	1
198.txt	2
199.txt	4
200.txt	2
201.txt	0
	3 & 0.8 & 4
189.txt	0
190.txt	0
191.txt	0
192.txt	0
193.txt	0
194.txt	1
195.txt	1
196.txt	3
197.txt	1
198.txt	2
199.txt	4
200.txt	2
201.txt	0
