	2 & 0.3 & 3
187.txt	0
188.txt	0
189.txt	10
190.txt	43
191.txt	57
192.txt	7
193.txt	5
194.txt	3
195.txt	13
196.txt	23
197.txt	17
198.txt	17
199.txt	39
200.txt	79
201.txt	74
202.txt	0
	2 & 0.3 & 4
187.txt	0
188.txt	0
189.txt	10
190.txt	43
191.txt	57
192.txt	7
193.txt	5
194.txt	3
195.txt	13
196.txt	23
197.txt	17
198.txt	17
199.txt	39
200.txt	79
201.txt	74
202.txt	0
	2 & 0.3 & 5
187.txt	0
188.txt	0
189.txt	10
190.txt	43
191.txt	57
192.txt	7
193.txt	5
194.txt	3
195.txt	13
196.txt	23
197.txt	17
198.txt	17
199.txt	39
200.txt	79
201.txt	74
202.txt	0
	3 & 0.3 & 4
187.txt	0
188.txt	0
189.txt	5
190.txt	29
191.txt	31
192.txt	2
193.txt	3
194.txt	2
195.txt	4
196.txt	9
197.txt	8
198.txt	8
199.txt	12
200.txt	32
201.txt	28
202.txt	0
	3 & 0.4 & 4
187.txt	0
188.txt	0
189.txt	3
190.txt	27
191.txt	27
192.txt	0
193.txt	1
194.txt	2
195.txt	3
196.txt	6
197.txt	3
198.txt	7
199.txt	7
200.txt	17
201.txt	15
202.txt	0
	3 & 0.5 & 4
187.txt	0
188.txt	0
189.txt	3
190.txt	22
191.txt	24
192.txt	0
193.txt	1
194.txt	1
195.txt	1
196.txt	3
197.txt	0
198.txt	3
199.txt	5
200.txt	10
201.txt	9
202.txt	0
	4 & 0.3 & 3
187.txt	0
188.txt	0
189.txt	4
190.txt	22
191.txt	24
192.txt	1
193.txt	1
194.txt	1
195.txt	2
196.txt	7
197.txt	6
198.txt	6
199.txt	7
200.txt	19
201.txt	18
202.txt	0
	4 & 0.3 & 4
187.txt	0
188.txt	0
189.txt	4
190.txt	22
191.txt	24
192.txt	1
193.txt	1
194.txt	1
195.txt	2
196.txt	7
197.txt	6
198.txt	6
199.txt	7
200.txt	19
201.txt	18
202.txt	0
	4 & 0.3 & 5
187.txt	0
188.txt	0
189.txt	4
190.txt	22
191.txt	24
192.txt	1
193.txt	1
194.txt	1
195.txt	2
196.txt	7
197.txt	6
198.txt	6
199.txt	7
200.txt	19
201.txt	18
202.txt	0
