	2 & 0.3 & 3
187.txt	0
188.txt	0
189.txt	4
190.txt	27
191.txt	23
192.txt	2
193.txt	4
194.txt	4
195.txt	6
196.txt	10
197.txt	9
198.txt	16
199.txt	25
200.txt	44
201.txt	46
202.txt	0
	2 & 0.3 & 4
187.txt	0
188.txt	0
189.txt	4
190.txt	27
191.txt	23
192.txt	2
193.txt	4
194.txt	4
195.txt	6
196.txt	10
197.txt	9
198.txt	16
199.txt	25
200.txt	44
201.txt	46
202.txt	0
	2 & 0.3 & 5
187.txt	0
188.txt	0
189.txt	4
190.txt	27
191.txt	23
192.txt	2
193.txt	4
194.txt	4
195.txt	6
196.txt	10
197.txt	9
198.txt	16
199.txt	25
200.txt	44
201.txt	46
202.txt	0
	3 & 0.3 & 4
187.txt	0
188.txt	0
189.txt	2
190.txt	13
191.txt	17
192.txt	0
193.txt	1
194.txt	3
195.txt	5
196.txt	4
197.txt	3
198.txt	4
199.txt	11
200.txt	23
201.txt	23
202.txt	0
	3 & 0.4 & 4
187.txt	0
188.txt	0
189.txt	2
190.txt	13
191.txt	15
192.txt	0
193.txt	1
194.txt	3
195.txt	2
196.txt	3
197.txt	1
198.txt	4
199.txt	10
200.txt	17
201.txt	12
202.txt	0
	3 & 0.5 & 4
187.txt	0
188.txt	0
189.txt	2
190.txt	11
191.txt	12
192.txt	0
193.txt	1
194.txt	0
195.txt	2
196.txt	2
197.txt	1
198.txt	3
199.txt	5
200.txt	16
201.txt	10
202.txt	0
	4 & 0.3 & 3
187.txt	0
188.txt	0
189.txt	2
190.txt	5
191.txt	13
192.txt	0
193.txt	0
194.txt	3
195.txt	4
196.txt	3
197.txt	2
198.txt	3
199.txt	7
200.txt	14
201.txt	11
202.txt	0
	4 & 0.3 & 4
187.txt	0
188.txt	0
189.txt	2
190.txt	5
191.txt	13
192.txt	0
193.txt	0
194.txt	3
195.txt	4
196.txt	3
197.txt	2
198.txt	3
199.txt	7
200.txt	14
201.txt	11
202.txt	0
	4 & 0.3 & 5
187.txt	0
188.txt	0
189.txt	2
190.txt	5
191.txt	13
192.txt	0
193.txt	0
194.txt	3
195.txt	4
196.txt	3
197.txt	2
198.txt	3
199.txt	7
200.txt	14
201.txt	11
202.txt	0
